Argentina,16,28.1,9,12.5,28.6
Australia,31.85,78.35,36.12,55.99,51.6
Austria,30.54,76.02,23.54,57.18,40.83
Bangladesh,21.7,37.2,7.2,9.6,0
Belarus,20.2,48.2,8.7,6,28
Belgium,35.63,61.35,38.74,61.06,72.54
Brazil,36.31,20.8,27.31,19.03,44.3
Canada,39.01,63.87,42.27,60.69,49.83
Chile,19.56,45.76,13.3,37.83,33.9
China,38.79,29.53,30.39,41.98,68.66
Colombia,17.32,51.4,13.78,58.66,33.42
Cyprus,18,74.7,28.5,56.7,30
Czech Republic,23.9,41.17,17.27,40.35,29.98
Denmark,31.08,70.27,32.93,66.38,59.28
Egypt,21.3,29.44,12.2,40.64,32.63
Estonia,19.36,42.42,20.84,47.18,32.6
Finland,28.65,47.61,27.38,56.48,44.58
France,35.59,62.04,26.35,69.18,38.13
Germany,39.3,54.49,33.75,66.44,52.81
Ghana,15.6,48.4,15.6,19.5,0
Greece,18.35,40.15,16.04,51.76,39.44
Hong Kong,42.58,73.81,46.76,64.16,48.51
Hungary,19.17,50.3,11.22,26.42,32.26
Iceland,13.14,59.36,22.1,74.14,64.06
India,32.33,16.69,20.04,38.56,43.83
Indonesia,18.1,37.2,8,13.9,40
Iran,27.3,14.92,26.96,31.62,74.44
Israel,38.76,49.61,42.36,44.37,34.84
Italy,25.4,38.09,20.38,62.68,41.27
Japan,40.84,24.35,32.99,39.71,52.49
Jordan,17.7,57.95,6.95,12.1,30.1
Kenya,13.7,45.5,9,19.5,28
Latvia,22.6,31.5,10.2,20.9,28.3
Lebanon,27.7,93,11.2,31.9,0
Lithuania,18.3,40.8,13.6,26.1,41
Luxembourg,25,99.8,26.7,84.8,38.1
Macau,17.8,85.85,18.65,58.9,34.25
Malaysia,23.6,38.1,15.14,19.28,31.28
Mexico,32.53,42.9,28.17,20.93,58.5
Morocco,16.85,43.9,6.4,47.55,28.9
Netherlands,40.97,61.71,51.93,66.58,71.84
New Zealand,23,86.07,25.67,51.87,46.82
Nigeria,22.7,26.1,11.1,4.6,29.2
Norway,29.79,63.14,28.31,60.87,38.68
Oman,21.3,71.5,10.6,16,37.6
Pakistan,19.65,33.35,8.45,40.3,31.3
Poland,20.69,31.94,12.52,40.81,30.68
Portugal,22.78,46.32,19.73,43.51,37.64
Qatar,9.9,99.9,10.3,22.3,55.2
Republic of Ireland,28.67,78.01,24.51,57.92,35.94
Romania,25.8,31.15,10.38,17.85,28.77
Russian Federation,39.12,36.21,24.86,34.88,51.94
Saudi Arabia,21.43,78.42,14.37,46.2,64.25
Serbia,20.4,30.5,13.2,14,45.6
Singapore,56.5,93.6,68.09,65.34,69.16
Slovakia,23.15,38.75,9.45,22.25,30.6
Slovenia,21,34.05,12.55,33.05,35.5
South Africa,27.24,61.61,31.29,55.49,83.04
South Korea,42.22,31.62,39.83,44.72,71.36
Spain,24.89,41.17,19.24,54.89,37.17
Sweden,35.72,59.65,43.76,63.75,57.12
Switzerland,45.17,90.2,44.4,77.21,53.46
Taiwan,30.16,23.91,34.05,34.71,58.86
Thailand,19.28,31.31,11.04,37.4,47.75
Turkey,27.18,35.98,25.21,56.59,53.12
Uganda,15.1,58,10.6,70.7,28
Ukraine,24.8,38.3,9.95,2.95,28.4
United Arab Emirates,15.6,95.3,12.7,17.5,31.7
United Kingdom,37.17,77.42,37.42,66.72,37.77
United States of America,47.94,40.56,45.15,74.81,47.24
