,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,,,,,Australia,,,,,Austria,,,,,Bangladesh,,,,,Belarus,,,,,Belgium,,,,,Brazil,,,,,Canada,,,,,Chile,,,,,China,,,,,Colombia,,,,,Cyprus,,,,,Czech Republic,,,,,Denmark,,,,,Egypt,,,,,Estonia,,,,,Finland,,,,,France,,,,,Germany,,,,,Ghana,,,,,Greece,,,,,Hong Kong,,,,,Hungary,,,,,Iceland,,,,,India,,,,,Indonesia,,,,,Iran,,,,,Israel,,,,,Italy,,,,,Japan,,,,,Jordan,,,,,Kenya,,,,,Latvia,,,,,Lebanon,,,,,Lithuania,,,,,Luxembourg,,,,,Macau,,,,,Malaysia,,,,,Mexico,,,,,Morocco,,,,,Netherlands,,,,,New Zealand,,,,,Nigeria,,,,,Norway,,,,,Oman,,,,,Pakistan,,,,,Poland,,,,,Portugal,,,,,Qatar,,,,,Republic of Ireland,,,,,Romania,,,,,Russian Federation,,,,,Saudi Arabia,,,,,Serbia,,,,,Singapore,,,,,Slovakia,,,,,Slovenia,,,,,South Africa,,,,,South Korea,,,,,Spain,,,,,Sweden,,,,,Switzerland,,,,,Taiwan,,,,,Thailand,,,,,Turkey,,,,,Uganda,,,,,Ukraine,,,,,Unisted States of America,,,,,United Arab Emirates,,,,,United Kingdom,,,,,United States of America,,,,,Unted Kingdom,,,,,Total Average of teaching,Total Average of research,Total Average of income,Total Average of total_score,Total Average of citations
Row Labels,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,Average of teaching,Average of research,Average of income,Average of total_score,Average of citations,,,,,
2011,,,,,,49.65714286,53.34285714,58.18333333,59.81428571,71.4,42.75,40.25,31,46.95,52.9,,,,,,,,,,,55.25,61,97.4,54.6,49,,,,,,52.42222222,60.71111111,38.1,59.8,65.52222222,,,,,,60.3,49.78333333,63.6,58.58333333,66.35,,,,,,,,,,,,,,,,42.8,49.4,61.03333333,51.06666667,60.06666667,29.5,28,36,51.6,99.8,,,,,,49,51.4,30.2,56.6,75.4,56.925,43.975,27.73333333,61.825,86.85,49.10714286,42.28571429,41.87,52.45714286,65.03571429,,,,,,,,,,,47.775,50.35,51.125,63.8,88.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3,71.78,70.825,60.46,46.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.12,52.52,69.8375,51.48,53.73,34.8,39.2,61.1,51.8,71.8,,,,,,39.9,42.1,41.5,52.7,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,45.05,40.95,31.6,58.9,85.35,,,,,,,,,,,,,,,,,,,,,54.55,62.15,40.25,60.95,61.85,,,,,,,,,,,36.6,42.1,#DIV/0!,56.1,82.8,61.525,57.175,70.85,59.375,62.2,34.55,33.35,35,51.6,88.3,48.5,58.43333333,62.93333333,53.9,52.9,54.83333333,54.7,40.56,62.08333333,72.06666667,50.45,54.15,55.525,52.45,55.075,,,,,,36.9,37.8,38.15,51.55,81.05,,,,,,,,,,,,,,,,,,,,,51.1137931,52.90344828,41.38275862,59.53448276,72.50344828,61.45277778,61.93472222,56.96,66.42638889,79.28055556,,,,,,54.7565,55.4575,51.72624113,60.4295,71.5895
2012,,,,,,29.01904762,31.95238095,49.13809524,57.52857143,42.33809524,28.44,18.84,38.46,47.9,50.62,,,,,,,,,,,30.72857143,32.27142857,66.92857143,52.93333333,53.75714286,57,45.55,38.25,44.1,17,39.16666667,43.70555556,50.57647059,59.36666667,55.21111111,17.1,16.3,29.7,#DIV/0!,30.1,45.04,30.47,68.84,55.93333333,38.61,,,,,,,,,,,32.3,24.6,24.5,#DIV/0!,31,27.82,27.42,60.8,47.7,57.6,15.2,7.8,34.5,#DIV/0!,61.4,17.8,17.8,26.3,#DIV/0!,34.4,26.32,27.22,41.68,54.8,47.4,35.7875,22.5875,34.31428571,54.42,76.575,37.36818182,28.15,42.34761905,49.96666667,59.04090909,,,,,,13.1,12.6,33.2,#DIV/0!,66.7,42.05,45.4,51.28333333,55.8,51.43333333,,,,,,10.7,17.3,75.4,#DIV/0!,62.4,43.8,15.7,24.2,#DIV/0!,38.8,,,,,,28.5,29.7,93.1,#DIV/0!,19.3,40.4,48.575,30.525,47.9,32.775,23.30714286,18.51428571,41.97142857,#DIV/0!,48.69285714,44.625,35.84375,49.84375,58.74,39.41875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,45.68461538,63.7,50.31666667,60.97692308,19.55,23.31666667,36.26,44.6,42.93333333,,,,,,28.45,26.2,38.4,43.2,54.075,,,,,,,,,,,23.35,15.85,25.8,#DIV/0!,43.7,18.325,12.85,34.025,#DIV/0!,35.125,,,,,,23.38,19.44,31.72,48.5,51,,,,,,42.75,23.6,53,#DIV/0!,7.05,,,,,,,,,,,53.55,63.4,52.55,57.95,48.95,,,,,,,,,,,28.43333333,34.5,99.03333333,53.2,48.2,47.81428571,40.07142857,74.21428571,56.4,40.14285714,22.9125,16.175,36.6,43.1,54.525,34.44,41.81,55.64,55.58,56.75,47.6,44.5,41.66666667,59.78571429,80.47142857,28.0125,33.2,55.95,46.2,36.0375,29.9,14.7,29,#DIV/0!,20.9,28.625,22.275,51.6,#DIV/0!,47.625,,,,,,,,,,,,,,,,,,,,,35.15,35.93269231,36.8,56.646875,60.59230769,47.35132743,44.81238938,46.72413793,63.59866667,71.32477876,,,,,,37.8380597,35.88457711,46.94688347,57.8815,57.28706468
2013,,,,,,34.96842105,40.92105263,53.44210526,62.075,53.80526316,33.05,23.63333333,39.1,50.2,56.81666667,,,,,,,,,,,36.1,39.71428571,68.34285714,55.4,61.94285714,57.35,56.25,42.45,50.5,28.35,40.42105263,44.65263158,52.42222222,63.05,61.32631579,,,,,,48.3,37.66666667,66.2,68.9,52.36666667,15.5,11.4,28.4,#DIV/0!,68.2,,,,,,34.7,26.2,28.1,#DIV/0!,42,31.22,33.9,64.52,53.53333333,66.22,,,,,,18.6,27.4,30.1,#DIV/0!,52.4,29.9,27.72,52.4,56.4,56.34,39.3,31.74166667,44.16,56.87142857,73.75833333,40.288,31.984,46.71363636,55.75454545,67.044,,,,,,17.1,16.3,34.1,#DIV/0!,68.6,46.95,51.95,48,60.725,56.26666667,,,,,,11.4,28,74.4,#DIV/0!,71,40.63333333,30.7,65.16666667,#DIV/0!,43.46666667,,,,,,32.9,42.8,93,#DIV/0!,34.2,48.1,55.26666667,41.2,50.16666667,48.23333333,26.07142857,21.46428571,42.05,#DIV/0!,59.31428571,49.33076923,41.63076923,52.63846154,60.78,50.74615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31.6,36,#DIV/0!,24.6,,,,,,44.97692308,57.86923077,73.73846154,58.475,66.9,23.65,27.33333333,50.13333333,50.3,53.75,,,,,,29.425,28.425,36.7,#DIV/0!,58.925,,,,,,,,,,,22.95,16.1,28.7,#DIV/0!,51.1,21.6,20.63333333,36.1,#DIV/0!,50.13333333,,,,,,29.32,25.7,35.76,52.05,58.08,,,,,,42.2,29.35,64.85,#DIV/0!,59.85,19.7,10.3,40.2,#DIV/0!,63.4,,,,,,60.05,77.05,88.45,68.45,60.85,,,,,,,,,,,29.175,34.75,77.7,55.8,54.6,58.43333333,59.53333333,81.43333333,61.875,53.65,26.91428571,21.77142857,35.07142857,#DIV/0!,64.21428571,36.85,46.46,56.63,59.48,63.37,45.625,43.6,45.41666667,61.57142857,79.725,36.35714286,43.02857143,66.05714286,53.2,38.81428571,11.3,10.2,60.2,#DIV/0!,68.4,35.24,31.64,52.96,#DIV/0!,56.98,,,,,,,,,,,,,,,,,,,,,39.87083333,41.04375,40.80833333,60.11290323,69.41875,51.07927928,48.22342342,47.43333333,65.61842105,76.44414414,,,,,,41.683,40.7775,50.2293956,61.576,65.268
2014,,,,,,29.85789474,34.38947368,54.25789474,57.71428571,56.63157895,28.45,21.61666667,40.2,46.2,56.53333333,,,,,,,,,,,33.14285714,35.57142857,76.28333333,51.08,66.21428571,44.25,44.15,44.55,#DIV/0!,28.65,36.72105263,38.67894737,52.21666667,60.18571429,61.40526316,,,,,,40.75,30.85,68.39,64.25,56.36,14.5,10.5,30.6,#DIV/0!,89.3,,,,,,29.1,19.9,29,#DIV/0!,43.6,28.4,29.62,63.98,49.9,65.66,,,,,,20.3,21.2,30.3,#DIV/0!,46.2,27.36,24.12,37.275,52.6,58.16,36.23636364,27.53636364,43.17272727,51.25,76.34545455,35.26923077,27.43461538,49.29090909,53.88,68.15,,,,,,18.2,16.6,35,#DIV/0!,65.6,39.91666667,44.56666667,48,59.93333333,60.01666667,,,,,,12.5,24.3,78.5,#DIV/0!,71.1,31.06,20.9,45.2,#DIV/0!,50.78,,,,,,29.7,37.2,98.3,#DIV/0!,49,39.26666667,40.83333333,38.06666667,44.65,49.33333333,24.53333333,19.68,42.22666667,#DIV/0!,64.04666667,47.91818182,40.41818182,61.15454545,57.58,54.26363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.46923077,49.60769231,74.38461538,54.20833333,68.05384615,21.52,26.12,51.42,46.6,57.06,,,,,,28.925,25.925,38.15,45.3,59.775,,,,,,,,,,,18.7,14.3,28.3,#DIV/0!,71.1,18.85,18.2,37.05,#DIV/0!,48.95,,,,,,27.36,23.24,38.52,48.5,60.88,,,,,,54.4,36.6,72.2,#DIV/0!,27,19.8,15.25,66.8,#DIV/0!,45.25,,,,,,52.85,66.05,82.15,64.8,66.95,,,,,,,,,,,24.46666667,29.86666667,93.5,50.5,62.5,50.7,49.12857143,82.9,58.725,51.14285714,23.34444444,19.15555556,40.73333333,46.6,62.01111111,31.97,39.91,57.75555556,54.96,63.51,41.3875,41.075,54.05,58.51428571,76.75,31.2125,37.4625,65.95,49.2,40.75,13,10.5,62.2,#DIV/0!,75.4,25.38,23.02,51.76,44.3,73.64,,,,,,,,,,,,,,,,,,,,,35.69183673,35.45306122,38.71632653,56.58064516,69.68571429,46.66880734,42.85412844,47.29767442,61.69220779,76.71926606,,,,,,37.27,35.56275,50.82098093,57.7335,66.53675
2015,,,,,,32.32,36.64,52.245,58.6875,59.24,30.94,24.7,39.88,46.9,60.24,,,,,,,,,,,35.97142857,36.6,71.02857143,53.9,62.58571429,47.5,45.2,42.3,#DIV/0!,30.15,38.98333333,41.24444444,50.30555556,59.5375,64.83888889,13,10.1,28.1,#DIV/0!,99.7,40.25454545,31.91818182,72.25454545,58.83333333,58.18181818,17.3,12.1,36.5,#DIV/0!,89.8,,,,,,31.5,24.3,29.4,#DIV/0!,50.1,29.62,31.82,63.86,50.53333333,64.14,,,,,,,,,,,27.65714286,27.78571429,46.2,53.9,57.07142857,36.04545455,28.68181818,42.4,52.87142857,75.72727273,36.65,30.80714286,52.64074074,54.94166667,68.12142857,,,,,,19,16.8,36,#DIV/0!,67,40.61666667,45.91666667,46.31666667,57.725,65.28333333,,,,,,14.9,24.7,64,#DIV/0!,74.8,28.925,22.225,46.225,#DIV/0!,60.525,,,,,,24.7,31,85.15,#DIV/0!,49.65,40.63333333,41.63333333,36.86666667,46.6,51.56666667,27.3,21.8,41.42941176,61.9,68.14705882,44.99166667,38.34166667,58.34166667,57.4,55.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,20.3,33.6,#DIV/0!,68.1,,,,,,,,,,,16.3,6.5,28.6,#DIV/0!,83,38.74615385,51.27692308,74.96153846,55.91818182,66.91538462,23.4,26,51.06,47.5,56.72,,,,,,29.95,27.4,38.65,46.7,59.4,,,,,,,,,,,20.8,13.6,28.5,#DIV/0!,70,25.15,19.5,39.2,#DIV/0!,52.7,,,,,,29.84,24.86,36.36,51.2,60.5,,,,,,40.25,29.65,55.95,46,52.15,,,,,,,,,,,57.95,67,76.7,67.75,70.95,,,,,,,,,,,26.36666667,29.4,92.5,52.6,66.5,45.46666667,44.48888889,81.34444444,60.15,54.47777778,26.65,23.31666667,42.45,48.1,68.18333333,33.48,40.88,57.11111111,56.28,63.79,43.675,44.375,60.5625,60.7,78.0875,34.85,42.31666667,70.06666667,49.3,39.25,16.7,10,56.5,#DIV/0!,75,29.96666667,30.1,48.98333333,50.675,81.91666667,,,,,,,,,,,,,,,,,,,,,37.50444444,38.33555556,38.11777778,58.87931034,73.89111111,47.06666667,44.0287037,48.37032967,62.86351351,77.43888889,,,,,,38.37082294,37.20274314,51.19133858,58.94079602,68.48379052
2016,16,9,28.6,#DIV/0!,12.5,28.76129032,32.83225806,48.80645161,64.2375,60.60322581,27.88571429,22.84285714,47.77142857,54.2,61.77142857,21.7,7.2,#DIV/0!,#DIV/0!,9.6,20.2,8.7,28,#DIV/0!,6,36.6,43.17142857,73.52857143,58.025,64.25714286,29.14705882,17.67058824,46.05454545,#DIV/0!,15.72941176,34.744,36.244,47.268,64.65714286,58.872,21.06666667,13.33333333,35.9,#DIV/0!,28.8,30.33243243,24.88378378,69.05,71,27.71081081,19.65,17.45,35.8,#DIV/0!,23,18,28.5,30,#DIV/0!,56.7,20.34444444,14.38888889,30.96666667,#DIV/0!,39.75555556,31.26666667,32.15,45.05,56.6,79.45,20.6,8.4,30,#DIV/0!,14,20.05,18.9,38.15,#DIV/0!,51.45,28.48888889,26.1,45.62222222,61.9,58.1,30.27777778,21.01111111,33.75416667,56.52,56.74444444,40.92162162,41.71081081,68.37714286,58.93,68.47837838,15.6,15.6,#DIV/0!,#DIV/0!,19.5,19.21428571,16.3,42.68333333,#DIV/0!,43.07142857,39.91666667,43.56666667,47.21666667,64.23333333,71.51666667,19.16666667,11.21666667,32.26,#DIV/0!,26.41666667,16.2,16.2,28,#DIV/0!,91.4,31.36470588,17.64117647,40.40588235,#DIV/0!,28.92352941,18.1,8,40,#DIV/0!,13.9,26.8,22.35,62.65714286,#DIV/0!,26.1625,31.8,32.88333333,31.91666667,50.5,44.08333333,25.40882353,20.28823529,40.15294118,52.13333333,66.49705882,29.96097561,20.85365854,47.39487179,65.5,27.04878049,17.7,6.95,30.1,#DIV/0!,12.1,13.7,9,28,#DIV/0!,19.5,22.6,10.2,28.3,#DIV/0!,20.9,27.7,11.2,#DIV/0!,#DIV/0!,31.9,18.3,13.6,41,#DIV/0!,26.1,25,26.7,38.1,49.4,84.8,18.5,17,34.9,#DIV/0!,49.7,23.6,15.14,31.28,#DIV/0!,19.28,33.3,26.45,69.75,#DIV/0!,19.1,17.4,6.3,29.2,#DIV/0!,12.1,41.66153846,54.76153846,73.02307692,61.14166667,79.91538462,24.47142857,23.75714286,43.17142857,51,47.88571429,22.7,11.1,29.2,#DIV/0!,4.6,29.65,30.175,40.775,52.6,69.125,21.3,10.6,37.6,#DIV/0!,16,19.65,8.45,31.3,#DIV/0!,40.3,19.55714286,10.12857143,32.91666667,#DIV/0!,28.54285714,26.28571429,23.78571429,40.1,#DIV/0!,41.28571429,9.9,10.3,55.2,#DIV/0!,22.3,27.7,23.52222222,37.2,51.3,52.51111111,25.8,10.375,28.76666667,#DIV/0!,17.85,36.73076923,22.71538462,47.61538462,51.9,33.26153846,23.1,15.13333333,70.56666667,#DIV/0!,41.1,20.4,13.2,45.6,#DIV/0!,14,60.05,72.9,74.85,73.7,82.5,23.15,9.45,30.6,#DIV/0!,22.25,21,12.55,35.5,#DIV/0!,33.05,25.6,27.23333333,68.63333333,56.1,46.15,29.62083333,27.475,60.99583333,55.8,35.38333333,24.316,17.424,35.56,51.96666667,43.98,34.30909091,41.21818182,55.23636364,59.3,76.54545455,41.54,41.45,67.02222222,63.64285714,75.65,24.16666667,25.15833333,53.11666667,51.1,26.5375,20.17142857,10.85714286,45.34285714,#DIV/0!,24.52857143,20.50909091,19.4,59.33636364,#DIV/0!,33.67272727,15.1,10.6,28,#DIV/0!,70.7,24.8,9.95,28.4,#DIV/0!,2.95,32,35.5,44.7,#DIV/0!,67.7,15.6,12.7,31.7,#DIV/0!,17.5,32.34675325,31.04025974,34.31447368,62.02058824,60.9,40.95958904,37.35068493,44.50220588,67.43174603,70.69726027,18.4,20.4,34.6,#DIV/0!,51.9,31.584,28.128625,46.86959371,62.52,51.30975
Grand Total,16,9,28.6,#DIV/0!,12.5,31.85213675,36.11880342,51.59655172,60.12,55.98888889,30.53548387,23.53548387,40.82666667,48.47142857,57.18064516,21.7,7.2,#DIV/0!,#DIV/0!,9.6,20.2,8.7,28,#DIV/0!,6,35.62972973,38.73783784,72.53611111,54.21363636,61.06216216,36.308,27.308,44.3,47.3,19.028,39.00740741,42.26759259,49.829,60.98125,60.68796296,19.5625,13.3,33.9,#DIV/0!,37.825,38.78915663,30.3939759,68.66219512,61.33888889,41.98072289,17.32,13.78,33.42,#DIV/0!,58.66,18,28.5,30,#DIV/0!,56.7,23.9,17.26923077,29.97692308,#DIV/0!,40.34615385,31.07931034,32.92758621,59.28275862,51.55555556,66.37931034,21.3,12.2,32.625,51.6,40.64,19.36,20.84,32.6,#DIV/0!,47.18,28.653125,27.378125,44.58333333,56.03333333,56.478125,35.59178082,26.34520548,38.12727273,55.00555556,69.17808219,39.30328947,33.75065789,52.80729927,54.73417722,66.4375,15.6,15.6,#DIV/0!,#DIV/0!,19.5,18.35454545,16.03636364,39.44,#DIV/0!,51.76363636,42.58235294,46.75882353,48.51176471,60.21363636,64.15882353,19.16666667,11.21666667,32.26,#DIV/0!,26.41666667,13.14,22.1,64.06,#DIV/0!,74.14,32.33,20.03666667,43.825,#DIV/0!,38.56333333,18.1,8,40,#DIV/0!,13.9,27.3,26.96153846,74.44166667,#DIV/0!,31.62307692,38.75789474,42.35789474,34.84210526,48.07777778,44.36842105,25.39680851,20.37553191,41.26808511,54.575,62.68297872,40.83877551,32.99285714,52.48736842,59.47407407,39.70714286,17.7,6.95,30.1,#DIV/0!,12.1,13.7,9,28,#DIV/0!,19.5,22.6,10.2,28.3,#DIV/0!,20.9,27.7,11.2,#DIV/0!,#DIV/0!,31.9,18.3,13.6,41,#DIV/0!,26.1,25,26.7,38.1,49.4,84.8,17.8,18.65,34.25,#DIV/0!,58.9,23.6,15.14,31.28,#DIV/0!,19.28,32.53333333,28.16666667,58.5,#DIV/0!,20.93333333,16.85,6.4,28.9,#DIV/0!,47.55,40.97066667,51.93066667,71.84027778,55.35652174,66.576,22.99666667,25.66666667,46.82068966,48.63333333,51.86666667,22.7,11.1,29.2,#DIV/0!,4.6,29.78571429,28.31428571,38.67619048,48.04285714,60.87142857,21.3,10.6,37.6,#DIV/0!,16,19.65,8.45,31.3,#DIV/0!,40.3,20.69230769,12.51538462,30.68181818,#DIV/0!,40.80769231,22.78333333,19.73333333,37.64444444,#DIV/0!,43.51111111,9.9,10.3,55.2,#DIV/0!,22.3,28.67419355,24.50967742,35.94,51.79090909,57.92258065,25.8,10.375,28.76666667,#DIV/0!,17.85,39.115,24.855,51.94,48.95,34.875,21.43333333,14.36666667,64.25,#DIV/0!,46.2,20.4,13.2,45.6,#DIV/0!,14,56.5,68.09166667,69.15833333,65.6,65.34166667,23.15,9.45,30.6,#DIV/0!,22.25,21,12.55,35.5,#DIV/0!,33.05,27.235,31.29,83.03684211,54.05,55.485,42.21754386,39.82631579,71.36491228,58.82173913,44.72280702,24.88947368,19.23508772,37.16842105,49.6125,54.89473684,35.71578947,43.76491228,57.12181818,56.584375,63.74736842,45.17234043,44.39574468,53.46190476,61.02439024,77.20638298,30.16140351,34.04912281,58.85789474,50.97777778,34.71403509,19.28181818,11.03636364,47.75454545,#DIV/0!,37.4,27.17575758,25.21212121,53.11818182,50.01428571,56.59393939,15.1,10.6,28,#DIV/0!,70.7,24.8,9.95,28.4,#DIV/0!,2.95,32,35.5,44.7,#DIV/0!,67.7,15.6,12.7,31.7,#DIV/0!,17.5,37.17066667,37.41733333,37.76856187,58.99408602,66.715,47.94430956,45.1522003,47.23696498,64.50800915,74.81153263,18.4,20.4,34.6,#DIV/0!,51.9,37.80149827,35.9102574,48.97987421,59.84612823,60.92162889
